Date,ACTIVISION BLIZZARD,ADOBE (NAS),ADVANCED MICRO DEVICES,ALEXION PHARMS.,ALIGN TECHNOLOGY,ALPHABET A,ALPHABET 'C',AMAZON.COM,AMER.ELEC.PWR.,AMGEN,ANALOG DEVICES,ANSYS,APPLE,APPLIED MATS.,ASML HLDG.ADR 1:1,ATLASSIAN 'A',AUTODESK,AUTOMATIC DATA PROC.,BAIDU 'A' ADR 10:1,BIOGEN,BOOKING HOLDINGS,BROADCOM,CADENCE DESIGN SYS.,CDW,CERNER,CHARTER COMMS.CL.A,CHECK POINT SFTW.TECHS.,CINTAS,CISCO SYSTEMS,COGNIZANT TECH.SLTN.'A',COMCAST A,COPART,COSTCO WHOLESALE,CSX,DEXCOM,DOCUSIGN,DOLLAR TREE,EBAY,ELECTRONIC ARTS,EXELON,FACEBOOK CLASS A,FASTENAL,FISERV,FOX A,FOX B,GILEAD SCIENCES,IDEXX LABORATORIES,ILLUMINA,INCYTE,INTEL,INTUIT,INTUITIVE SURGICAL,JD COM ADR 1:2,KEURIG DR PEPPER,KLA,KRAFT HEINZ,LAM RESEARCH,LULULEMON ATHLETICA,MARRIOTT INTL.'A',MARVELL TECH.GROUP,MATCH GROUP,MAXIM INTEGRATED PRDS.,MERCADOLIBRE,MICROCHIP TECH.,MICRON TECHNOLOGY,MICROSOFT,MODERNA,MONDELEZ INTERNATIONAL CL.A,MONSTER BEVERAGE,NETEASE ADR 1:5,NETFLIX,NVIDIA,NXP SEMICONDUCTORS,OKTA CL.A,O REILLY AUTOMOTIVE,PACCAR,PAYCHEX,PAYPAL HOLDINGS,PELOTON INTERACTIVE A,PEPSICO,PINDUODUO ADR 1:4,QUALCOMM,REGENERON PHARMS.,ROSS STORES,SEAGEN,SIRIUS XM HOLDINGS,SKYWORKS SOLUTIONS,SPLUNK,STARBUCKS,SYNOPSYS,TESLA,TEXAS INSTRUMENTS,T-MOBILE US,TRIP COM GROUP ADR 8:1,VERISIGN,VERISK ANALYTICS CL.A,VERTEX PHARMS.,WALGREENS BOOTS ALLIANCE,WORKDAY CLASS A,XCEL ENERGY,XILINX,ZOOM VIDEO COMMUNICATIONS A
1/2/2020,58.65,334.4299,49.1,107.84,283.6799,1368.68,1367.37,1898.01,93.46,240.1,120.43,259.5901,75.0875,62.2,302.8301,122.88,187.83,170.32,138.22,294.24,2074.58,322.3899,71.44,143.88,73.62,490.4299,112.26,270.79,48.42,61.92,45.37,93.48,291.49,73.19,219.38,75.9,93.78,36.3,107.34,45.43,209.78,37.23,115.52,37.07,36.46,65.23,265.02,327,85.97,60.84,266.1599,597.26,37.73,28.74,182.57,31.61,297.8899,233.42,151.49,27.375,84.19,62.43,610.1899,107.6,55.39,160.62,19.23,54.33,63.7,65.74,329.8101,239.91,128.54,117.31,437.52,79.51,85.11,110.75,29.74,135.82,41.23,88.69,373.3501,116.83,112.41,7.13,121.67,151.98,89.35,142.87,86.052,129.57,78.59,36.97,196.73,151.12,219.45,59.08,167.46,62.38,101.65,68.72
1/3/2020,58.67,331.8101,48.6,106.41,280.4399,1361.52,1360.66,1874.97,93.36,238.47,118.31,256.97,74.3575,61.21,297.95,123.04,184.95,169.96,133.8,290.8501,2065.48,314.1899,70.42,142.15,73.83,494.47,112.29,269.5701,47.63,61.36,45.01,92.66,291.73,72.89,218.7,75.56,93.03,35.96,107.2,45.57,208.67,36.57,116.37,36.665,36.1,65.07,264.77,322.73,77.9,60.1,264.3799,593.3401,37.99,28.81,179.08,31.24,294.6899,232.64,149.27,26.67,84.1,61.35,607.8,105.24,54.53,158.62,18.89,54.24,63.28,64.932,325.8999,236.07,127.3,118.29,438.75,78.73,84.82,108.76,30.6,135.63,40.89,87.02,369.1599,116.86,112.65,7.09,118.65,152.06,88.83,141.76,88.6019,127.85,78.17,36.18,200.88,152.59,217.98,59.08,168.44,62.68,99.31,67.28
1/6/2020,59.74,333.71,48.39,106.58,285.8799,1397.81,1394.21,1902.88,93.67,240.3,116.92,254.59,74.95,59.89,295.5801,127.69,187.12,170.19,135.94,290.8201,2047.4,313.72,70.85,141.08,73.99,497.45,112.8,270.27,47.8,60.745,44.67,93.49,291.8101,72.51,225.99,75.39,93.03,35.78,108.78,45.635,212.6,36,116.93,36.57,36.015,65.65,266.9299,325.53,77.34,59.93,266.4099,595.76,38,29,175.05,31.31,289.1899,235.43,147.34,25.68,84.32,60.235,606.55,103.73,53.565,159.03,18.13,54.15,63.38,64.812,335.8301,237.06,126.4,123.43,434.6599,78.44,84.81,110.17,29.75,136.15,40.09,86.51,371.74,117.43,111,7.12,116.56,154.46,88.13,141.98,90.308,126.96,78.62,35.69,202.74,152.94,224.03,59.59,169.49,62.59,97.24,70.32
1/7/2020,60.335,333.3899,48.25,106.85,283.0601,1395.11,1393.34,1906.86,93.69,238.04,119.58,256.6699,74.5975,61.62,298.79,128.15,187.5,168.13,136.7,290.0901,2068.05,312.6399,71.07,140.92,73.02,499.1599,112.03,270.0701,47.49,60.32,44.93,93.37,291.3501,73,231.45,75.24,91.93,35.62,108.39,45.68,213.06,35.93,116.48,37.07,36.47,65.12,266.1201,329.6899,77.14,58.93,266.47,582.8,38.32,28.2,176.44,30.76,296.24,233.7,144.94,26.25,83.82,61.6,625,110.69,58.27,157.58,17.78,53.92,63.69,65.606,330.75,239.93,128.04,122.89,428.77,77.92,84.34,109.67,30.4,134.01,41.21,88.97,373.1299,118.8,111.32,7.07,117.67,153.41,87.86,142.96,93.812,129.41,78.92,37.33,203.21,154.22,223.79,59.29,172.95,62.46,99.46,71.9
1/8/2020,59.88,337.8701,47.83,108.58,286,1405.04,1404.32,1891.97,93.41,238.22,120.66,257.73,75.7975,61.58,301.8899,130.06,189.95,169.71,137.83,292.6599,2062.9,308.74,72.28,140.71,73.445,500.77,111.48,275.28,47.52,60.73,45.39,94.01,294.6899,73.38,233.23,76.27,89.79,35.595,109.49,46.005,215.22,36.2,116.8,37.11,36.42,65.8,271.6799,332.1599,76.53,58.97,272.8799,581.78,38.3,27.76,176.67,30.59,299.97,237.27,146.73,26.05,85.05,61.58,633.4399,109.29,57.52,160.09,17.98,54.05,63.82,66.202,339.26,240.38,128.36,125.55,431.8999,78.96,85.17,111.82,29.65,134.7,40.5,88.71,382.4199,119.15,111.2,7.06,119.54,155.76,88.88,145.86,98.4279,129.76,79.42,36.87,204.15,155.64,231.09,55.83,178.71,62.4,99.18,72.55
1/9/2020,59.34,340.45,48.97,110.74,296.54,1419.79,1419.83,1901.05,93.88,238.93,120.66,261.4299,77.4075,61.97,301.3799,135.41,191.94,171.21,140.86,294.3,2084.29,306.26,73.36,141.97,73.76,507.28,111.71,279.3501,47.32,61.11,45.51,95.29,299.4199,73.74,239.27,75.8,91.06,35.18,109.36,46.15,218.3,36.22,117.8,37.18,36.5,65.84,277.9399,334.6001,77.95,59.3,274.8999,585.79,38.9,27.87,175.49,30.58,297.9299,235.9,146.45,26.1,85.75,62.03,646.4299,110.32,57.31,162.09,18.4,54.19,64.25,67.674,335.6599,243.02,129.18,128.52,437.3701,78.45,85.745,112.57,27.87,134.79,39.66,89.91,383.47,122.13,111.83,7.05,119.65,154.52,90.53,148.67,96.268,131.33,79.81,37.12,208.88,157.14,230.26,54.68,179.48,62.54,101.51,72.62
1/10/2020,58.95,339.8101,48.165,109.48,293.3301,1428.96,1429.73,1883.16,94.34,238.26,118.57,260.8,77.5825,61.47,296.1799,133.9,192.36,171.09,144.51,296.51,2086.9,299.22,73.03,142.36,73.48,505.03,112.62,278.8401,47.13,60.64,44.98,95.31,297.24,73.36,237.3,74.83,91.35,34.89,108.59,46.26,218.06,36.33,117.13,36.72,36.085,65.03,281.6399,335.53,76.47,58.94,275.25,598.72,39.11,27.88,173.01,30.7,294.3401,234.84,145.39,26.5,87.13,61.45,669.48,110.83,56.67,161.34,19.14,54.25,65.34,67.782,329.05,244.32,129.64,129.39,436.8501,77.81,85.27,112.93,28.01,134.53,38.42,90.26,381.4099,120.72,112.44,7,120.08,155.78,90.16,148.46,95.63,130,79,36.7,209.12,157.32,228.95,54.22,180.11,62.64,99.47,73.09
1/13/2020,59.24,345.6299,48.745,113.92,298.0701,1440.03,1439.23,1891.3,94.63,236.92,119.06,264.05,79.24,61.81,301.45,136.07,192.45,172.36,142.26,293.8999,2080.5,301.1799,73.39,143.35,73.07,510.1499,113.44,282.8501,47.97,61.16,45.8,96.26,299.8701,74.69,235.84,74.15,90.77,34.73,109.82,46.19,221.91,36.59,118.53,36.99,36.3,64.31,282.29,323.1499,77.1,59.59,276.04,603.1201,40.31,27.8,175.1,31.16,297.29,245.18,146.8,27.52,89.58,61.835,691.1001,111.21,57.45,163.28,20.26,54.59,65.53,69.906,338.9199,251.98,131.98,131.16,435.5,78.06,86.26,115.28,28.53,136.53,39.35,90.97,378.9299,119.97,105.47,7.05,124.51,156.46,91.08,149.93,104.972,129.95,79.4,37.65,211.75,158.02,226.49,54.06,181.92,63.37,98.95,74.03
1/14/2020,60.05,344.6299,48.21,112.79,287.6101,1430.59,1430.88,1869.44,94.98,240,119.53,262.8701,78.17,62.35,302.55,134.22,191.11,171.23,140.04,298.97,2071.48,308.1799,72.605,143.96,74.21,509.6201,113.68,281.52,47.79,61.37,46.03,96.34,299.75,74.66,235.06,72.8,90.57,35.35,109.58,45.81,219.06,36.82,117.55,37.26,36.54,64.2,284.02,317.105,81.47,59.43,272.6799,602.6899,40.29,27.6,177.48,31.73,300.76,243.77,147.15,27.51,89.72,62.185,652.0701,110.12,57.52,162.13,20,54.19,65.58,69.782,338.6899,247.28,132.71,129.03,438.51,78.2,86.62,114.64,29.69,136.85,38.02,90.56,387.6201,118.96,107.75,7.11,123.34,157.04,90.99,148.19,107.5839,130.67,79.8,38.5,209.37,156.88,229.75,54.62,179.98,63.47,99.61,73.16
1/15/2020,59.64,342.9399,48.545,112.53,274.1001,1439.2,1439.2,1862.02,96.6,241.7,117.51,264.28,77.835,61.93,300.0801,134.91,190.79,172.81,139.4,293.0901,2065.16,303.1399,71.94,144.6,74.69,515.3999,113.92,284.6399,48.01,61.85,46.28,96.67,300.8201,74.99,234.34,73.03,90.75,35.33,109.61,46.55,221.15,36.79,118.51,37.48,36.79,64.1,288.49,320.3899,80.54,58.94,273,597.24,39.78,27.86,177.92,31.6,298.3401,243.49,147.3,26.72,91.1,61.45,659.98,107.58,56.17,163.18,20.24,54.74,65.88,69.136,339.0701,245.57,132.5,128.57,438.1499,77.46,87.37,114.85,30.86,139.2,38.67,89.67,390.75,117.77,106.65,7.17,120.42,156.02,91.54,147.91,103.7,129.17,80.27,37.56,211.74,158.65,234.15,54.43,179.18,64.47,98.83,76.94
