Date,low,high,open,close
1/2/2020,8786.898,8873.633,8802.217,8872.219
1/3/2020,8755.166,8843.649,8755.166,8793.904
1/6/2020,8713.889,8849.976,8713.889,8848.516
1/7/2020,8821.682,8872.469,8857.138,8846.449
1/8/2020,8834.936,8953.552,8845.449,8912.37
1/9/2020,8938.528,9004.553,8990.041,8989.63
1/10/2020,8951.827,9024.869,9021.882,8966.637
1/13/2020,8991.354,9071.529,9007.938,9070.646
1/14/2020,9020.923,9080.16,9068.023,9033.42
1/15/2020,9008.95,9078.87,9039.312,9035.667
1/16/2020,9066.306,9126.073,9088.084,9124.999
1/17/2020,9118.981,9176.471,9159.482,9173.732
1/21/2020,9141.783,9187.419,9145.642,9166.628
1/22/2020,9179.267,9242.479,9212.353,9188.575
1/23/2020,9145.232,9221.126,9186.138,9216.984
1/24/2020,9101.442,9272.373,9266.351,9141.467
1/27/2020,8910.972,9001.436,8913.164,8952.179
1/28/2020,8994.285,9111.315,9013.229,9090.933
1/29/2020,9067.287,9153.076,9141.521,9101.613
1/30/2020,9019.72,9140.693,9038.922,9136.087
1/31/2020,8961.59,9170.216,9169.91,8991.512
2/3/2020,9031.073,9148.505,9033.518,9126.232
2/4/2020,9224.859,9352.963,9256.938,9334.056
2/5/2020,9311.884,9442.755,9441.345,9367.481
2/6/2020,9357.862,9448.724,9395.687,9445.916
2/7/2020,9376.91,9453.243,9397.766,9401.098
2/10/2020,9373.195,9517.74,9373.195,9516.841
2/11/2020,9493.632,9600.051,9567.814,9517.861
2/12/2020,9552.032,9615.904,9569.822,9613.201
2/13/2020,9532.741,9636.409,9540.671,9595.702
2/14/2020,9583.083,9634.751,9613.882,9623.58
2/18/2020,9567.275,9647.718,9567.275,9629.803
2/19/2020,9676.068,9736.572,9683.937,9718.727
2/20/2020,9513.227,9714.233,9696.655,9627.83
2/21/2020,9406.38,9593.998,9582.543,9446.688
2/24/2020,9028.873,9194.907,9055.301,9079.632
2/25/2020,8807.105,9183.781,9167.329,8834.865
2/26/2020,8813.924,9032.875,8883.01,8873.757
2/27/2020,8430.534,8786.684,8632.542,8436.666
2/28/2020,8133.848,8490.468,8133.848,8461.835
3/2/2020,8446.495,8879.392,8569.907,8877.978
3/3/2020,8516.584,9000.457,8892.679,8594.491
3/4/2020,8669.761,8952.108,8745.637,8949.28
3/5/2020,8613.905,8864.191,8713.191,8671.658
3/6/2020,8319.904,8571.881,8395.948,8530.337
3/9/2020,7912.143,8241.769,7912.143,7948.027
3/10/2020,7942.132,8376.436,8213.966,8372.266
3/11/2020,7900.989,8224.731,8166.264,8006.119
3/12/2020,7255.615,7808.313,7452.756,7263.653
3/13/2020,7301.876,7998.509,7683.043,7995.263
3/16/2020,6993.606,7563.446,7502.262,7020.377
3/17/2020,6959.151,7550.133,7198.528,7473.95
3/18/2020,6837.532,7336.88,7023.862,7175.176
3/19/2020,7037.472,7514.135,7190.208,7288.523
3/20/2020,6969.766,7487.833,7391.215,6994.291
